MUNICIPIO,ESTADO,POPULACAOESTIMADA,TOTALCOMPARECIMENTOS,VOTOSLULA,VOTOSBOLSONARO
COIVARAS,PI,4044,4496,3435,706
BOCAINA,PI,4509,4525,3438,807
NOVO SANTO ANTÔNIO,PI,3014,3705,3086,394
VERA MENDES,PI,3082,3108,2461,319
MIGUEL LEÃO,PI,1239,1357,903,350
SÃO FÉLIX DO PIAUÍ,PI,2923,2994,2163,566
SEBASTIÃO BARROS,PI,3434,3467,2727,499
JATOBÁ DO PIAUÍ,PI,4885,5305,4332,643
PAU D'ARCO DO PIAUÍ,PI,4084,4142,3297,515
NAZÁRIA,PI,8632,9286,7137,1537
AROEIRAS DO ITAIM,PI,2551,3325,2633,456
BODÓ,RN,2171,2767,2055,473
TRIUNFO POTIGUAR,RN,3195,3358,2244,859
TIBAU,RN,4173,5335,3427,1475
SÃO BENTO DO NORTE,RN,2687,3359,2344,733
PARAÚ,RN,3732,4232,2945,917
SÃO FERNANDO,RN,3606,3642,2502,828
MONTE DAS GAMELEIRAS,RN,2063,2285,1498,578
PEDRA GRANDE,RN,3163,3343,2405,695
SEVERIANO MELO,RN,1743,5579,4233,801
SÃO JOSÉ DO BREJO DO CRUZ,PB,1821,2165,1500,464
AMPARO,PB,2264,2297,1919,249
PARARI,PB,1747,1790,1345,307
RIACHO DE SANTO ANTÔNIO,PB,1999,2074,1360,537
SÃO FRANCISCO,PB,3377,3435,2459,621
LASTRO,PB,2698,3477,2755,493
QUIXABA,PB,2009,2467,1587,640
SANTA TERESINHA,PB,4550,4564,3189,938
CUMARU,PE,9494,12620,9008,2525
JAPURÁ,AM,1755,3389,1872,1152
BREJO GRANDE,SE,8396,20050,13857,4358
ILHA DAS FLORES,SE,8522,13313,9261,2820
CONTENDAS DO SINCORÁ,BA,4025,4589,3343,828
ICHU,BA,6232,7125,4931,1564
RIBEIRÃO DO LARGO,BA,4896,6193,4371,1280
MAETINGA,BA,2386,4622,3289,767
FAMA,MG,2374,2895,1308,1330
JACAREACANGA,PA,6952,9000,4382,3986
DORESÓPOLIS,MG,1539,3068,1242,1531
PAU D'ARCO,PA,5339,5532,2452,2667
DESTERRO DO MELO,MG,2867,3040,1496,1066
DIVINÉSIA,MG,3430,3654,2381,939
JECEABA,MG,4795,4847,2708,1467
MOJUÍ DOS CAMPOS,PA,16282,17029,6708,8926
OLARIA,MG,1694,1785,1116,470
PEDRO TEIXEIRA,MG,1804,1993,1407,363
TABULEIRO,MG,3669,3838,2155,1240
QUELUZITO,MG,1948,2105,1057,754
SENADOR JOSÉ BENTO,MG,1422,1559,605,789
SERRA DA SAUDADE,MG,771,915,395,419
MACUCO,RJ,5646,5654,2616,2420
ITAUBAL,AP,5730,5980,3026,2373
PARISI,SP,2177,2371,810,1328
BORÁ,SP,839,847,319,444
URU,SP,1142,1441,445,847
SANTANA DA PONTE PENSA,SP,1448,1481,554,767
OLIVEIRA DE FÁTIMA,TO,1124,1218,685,454
CHAPADA DE AREIA,TO,1415,1806,881,817
HONÓRIO SERPA,PR,5030,5128,2664,2123
LIDIANÓPOLIS,PR,3155,3197,1138,1756
BELA VISTA DA CAROBA,PR,3404,3444,1804,1402
MANFRINÓPOLIS,PR,2442,2468,1609,712
GUATAMBÚ,SC,4692,4984,2623,1969
LAJEADO GRANDE,SC,1408,1586,556,903
SANTA HELENA,SC,2178,2234,878,1071
CAXAMBU DO SUL,SC,3462,3715,1842,1572
PAIAL,SC,1444,2063,954,917
SANTIAGO DO SUL,SC,1211,1260,560,570
JUPIÁ,SC,2083,2185,896,1079
BANDEIRANTE,SC,2618,2962,1289,1370
TIGRINHOS,SC,1606,1675,742,768
JABORÁ,SC,3899,4231,1077,2647
MAREMA,SC,1703,1796,600,1034
PIRATUBA,SC,3637,4339,1390,2510
ALTAMIRA DO PARANÁ,PR,1429,2639,1391,995
VILA LÂNGARO,RS,2070,3170,888,1963
GRAMADO DOS LOUREIROS,RS,2036,2699,1452,1031
SÃO VENDELINO,RS,2288,2333,599,1389
ARAMBARÉ,RS,3544,5697,2359,2682
COLINAS,RS,2466,3667,1037,2091
SALDANHA MARINHO,RS,2596,4131,1377,2333
BOM PROGRESSO,RS,1858,1902,983,788
ENGENHO VELHO,RS,932,988,520,370
CAPÃO BONITO DO SUL,RS,1628,1969,889,857
MONTE BELO DO SUL,RS,2514,2604,414,1931
NICOLAU VERGUEIRO,RS,1667,1789,613,1014
NOVA BOA VISTA,RS,1731,1763,521,929
PONTE PRETA,RS,1501,1579,464,891
PORTO VERA CRUZ,RS,1258,1410,632,661
UNIÃO DA SERRA,RS,1084,1280,256,880
VESPASIANO CORRÊA,RS,1776,1890,297,1403
ITATI,RS,2377,2686,1116,1284
PINHAL DA SERRA,RS,1896,1905,773,901
ACORIZAL,MT,5309,5754,3041,2322
ÁGUA LIMPA,GO,1809,1830,787,885
CAMPOS VERDES,GO,1526,3114,1951,907
MORRO AGUDO DE GOIÁS,GO,2217,2371,861,1310
AMORINÓPOLIS,GO,3011,3737,1560,1801
AVELINÓPOLIS,GO,2401,2743,1026,1481
SÃO JOÃO DA PARAÚNA,GO,1312,1687,650,895
CACHOEIRA DE GOIÁS,GO,1336,1426,634,643
GUARINOS,GO,1681,1870,1110,587
OUVIDOR,GO,6895,6949,3524,2752
BURITI DE GOIÁS,GO,2464,2636,837,1575
GUARAÍTA,GO,1905,2188,997,989
CÓRREGO DO OURO,GO,2254,2349,636,1511
ABADIA DE GOIÁS,GO,9158,9258,3649,4710
DAVINÓPOLIS,GO,2094,2685,1547,887
ITAPIRAPUÃ,GO,4380,4909,2386,2156
MOIPORÁ,GO,1471,1766,670,923
PILAR DE GOIÁS,GO,2135,2836,1533,1054
SANTA ROSA DE GOIÁS,GO,2200,2395,1093,1028
