MUNICIPIO,ESTADO,POPULACAOESTIMADA,TOTALCOMPARECIMENTOS,VOTOSLULA,VOTOSBOLSONARO
BUJARI,AC,6543,7737,2171,4652
COIVARAS,PI,3797,4496,3435,706
BOCAINA,PI,4039,4525,3438,807
NOVO SANTO ANTÔNIO,PI,3383,3705,3086,394
NOSSA SENHORA DE NAZARÉ,PI,4048,4612,3855,498
VERA MENDES,PI,3097,3108,2461,319
MIGUEL LEÃO,PI,1194,1357,903,350
CURRALINHOS,PI,4072,4282,3521,526
JATOBÁ DO PIAUÍ,PI,4523,5305,4332,643
LAGOA DO PIAUÍ,PI,3684,3775,2838,626
PEDRO LAURENTINO,PI,2105,2345,1552,638
PAU D'ARCO DO PIAUÍ,PI,3713,4142,3297,515
AROEIRAS DO ITAIM,PI,2654,3325,2633,456
HORIZONTE,CE,48660,48963,28683,14302
EUSÉBIO,CE,38189,42417,21790,15728
GUARAMIRANGA,CE,4307,4922,3579,875
SERRA DO MEL,RN,9216,10039,6088,3079
BODÓ,RN,2542,2767,2055,473
RAFAEL GODEIRO,RN,3131,3139,1889,983
TRIUNFO POTIGUAR,RN,3272,3358,2244,859
PORTO DO MANGUE,RN,4792,5566,3959,1132
TIBAU,RN,3750,5335,3427,1475
CAIÇARA DO RIO DO VENTO,RN,3064,3141,2200,714
FELIPE GUERRA,RN,5680,5833,4594,845
EXTREMOZ,RN,21792,23245,12415,8732
PARAÚ,RN,3880,4232,2945,917
SÃO FERNANDO,RN,3381,3642,2502,828
MESSIAS TARGINO,RN,3795,3828,2687,884
LAGOA SALGADA,RN,7179,7517,5063,1662
LAJES PINTADAS,RN,4217,4272,2826,1055
PASSAGEM,RN,2629,3076,1836,960
VILA FLOR,RN,2647,2740,1923,587
TABOLEIRO GRANDE,RN,2278,2409,1743,500
CAPIM,PB,5207,5404,3634,1147
BARAÚNA,PB,3864,3897,2906,608
ALGODÃO DE JANDAÍRA,PB,2342,2425,1912,304
CAJAZEIRINHAS,PB,3057,3064,2353,464
BOM JESUS,PB,2233,2498,2059,230
SÃO JOSÉ DO BREJO DO CRUZ,PB,1647,2165,1500,464
AMPARO,PB,2007,2297,1919,249
PARARI,PB,1245,1790,1345,307
RIACHO DE SANTO ANTÔNIO,PB,1524,2074,1360,537
LASTRO,PB,2834,3477,2755,493
MATARACA,PB,6984,7106,4611,1770
QUIXABA,PB,1433,2467,1587,640
SÃO JOSÉ DO BONFIM,PB,3180,3353,2363,715
LUÍS EDUARDO MAGALHÃES,BA,44265,55077,22196,28942
CANTÁ,RR,11119,11284,2916,7372
BREJO GRANDE,SE,7760,20050,13857,4358
ILHA DAS FLORES,SE,8598,13313,9261,2820
BARRA DOS COQUEIROS,SE,19218,20822,11555,6752
SANTA ROSA DE LIMA,SE,3844,3895,2616,866
TELHA,SE,2852,3229,2074,924
MALHADA DE PEDRAS,BA,7620,7954,5415,1881
