MUNICIPIO,ESTADO,POPULACAOESTIMADA,MARGEMDECORTE,POPULACAOAPTA,TOTALCOMPARECIMENTOS,VOTOSLULA,VOTOSBOLSONARO
BUJARI,AC,6543,27.12,4769,7737,2171,4652
COIVARAS,PI,3797,22.29,2951,4496,3435,706
BOCAINA,PI,4039,22.29,3139,4525,3438,807
NOVO SANTO ANTÔNIO,PI,3383,22.29,2629,3705,3086,394
NOSSA SENHORA DE NAZARÉ,PI,4048,22.29,3146,4612,3855,498
VERA MENDES,PI,3097,22.29,2407,3108,2461,319
MIGUEL LEÃO,PI,1194,22.29,928,1357,903,350
CURRALINHOS,PI,4072,22.29,3164,4282,3521,526
JATOBÁ DO PIAUÍ,PI,4523,22.29,3515,5305,4332,643
LAGOA DO PIAUÍ,PI,3684,22.29,2863,3775,2838,626
PEDRO LAURENTINO,PI,2105,22.29,1636,2345,1552,638
PAU D'ARCO DO PIAUÍ,PI,3713,22.29,2885,4142,3297,515
AROEIRAS DO ITAIM,PI,2654,22.29,2062,3325,2633,456
HORIZONTE,CE,48660,21.05,38417,48963,28683,14302
EUSÉBIO,CE,38189,21.05,30150,42417,21790,15728
GUARAMIRANGA,CE,4307,21.05,3400,4922,3579,875
SERRA DO MEL,RN,9216,20.34,7341,10039,6088,3079
BODÓ,RN,2542,20.34,2025,2767,2055,473
RAFAEL GODEIRO,RN,3131,20.34,2494,3139,1889,983
TRIUNFO POTIGUAR,RN,3272,20.34,2606,3358,2244,859
PORTO DO MANGUE,RN,4792,20.34,3817,5566,3959,1132
TIBAU,RN,3750,20.34,2987,5335,3427,1475
CAIÇARA DO RIO DO VENTO,RN,3064,20.34,2441,3141,2200,714
FELIPE GUERRA,RN,5680,20.34,4525,5833,4594,845
EXTREMOZ,RN,21792,20.34,17360,23245,12415,8732
PARAÚ,RN,3880,20.34,3091,4232,2945,917
SÃO FERNANDO,RN,3381,20.34,2693,3642,2502,828
MESSIAS TARGINO,RN,3795,20.34,3023,3828,2687,884
LAGOA SALGADA,RN,7179,20.34,5719,7517,5063,1662
LAJES PINTADAS,RN,4217,20.34,3359,4272,2826,1055
PASSAGEM,RN,2629,20.34,2094,3076,1836,960
VILA FLOR,RN,2647,20.34,2109,2740,1923,587
TABOLEIRO GRANDE,RN,2278,20.34,1815,2409,1743,500
CAPIM,PB,5207,20.77,4126,5404,3634,1147
BARAÚNA,PB,3864,20.77,3061,3897,2906,608
ALGODÃO DE JANDAÍRA,PB,2342,20.77,1856,2425,1912,304
CAJAZEIRINHAS,PB,3057,20.77,2422,3064,2353,464
