MUNICIPIO,ESTADO,POPULACAOESTIMADA,TOTALCOMPARECIMENTOS,VOTOSLULA,VOTOSBOLSONARO
ÁGUA BRANCA,PI,17525,12671,8835,3041
BAIXA GRANDE DO RIBEIRO,PI,11751,8415,5675,2210
ALTO LONGÁ,PI,14371,10586,8253,1442
ALEGRETE DO PIAUÍ,PI,4921,3459,2665,587
BRASILEIRA,PI,8364,5956,4716,811
AGRICOLÂNDIA,PI,5123,4023,3135,542
BOM PRINCÍPIO DO PIAUÍ,PI,5670,5128,3850,908
BUJARI,AC,10572,7737,2171,4652
BONFIM DO PIAUÍ,PI,5700,4091,3526,254
ALTOS,PI,40681,29149,22770,3984
AMARANTE,PI,17609,12080,9683,1537
ANGICAL DO PIAUÍ,PI,6779,5339,4092,853
BURITI DOS MONTES,PI,8282,5535,4640,533
CABECEIRAS DO PIAUÍ,PI,10671,7262,5938,681
ANÍSIO DE ABREU,PI,9994,5731,4814,582
CALDEIRÃO GRANDE DO PIAUÍ,PI,5786,4324,3448,549
CAPIXABA,AC,12280,6166,1630,3944
ANTÔNIO ALMEIDA,PI,3175,2382,1626,586
CANAVIEIRA,PI,3938,2654,2136,348
AROAZES,PI,5819,4642,3770,580
COLÔNIA DO GURGUÉIA,PI,6545,4197,3207,732
AVELINO LOPES,PI,11361,7289,5165,1392
COLÔNIA DO PIAUÍ,PI,7665,4776,3907,547
ARRAIAL,PI,4713,3370,2696,409
BARREIRAS DO PIAUÍ,PI,3356,2647,1987,450
CORONEL JOSÉ DIAS,PI,4688,4111,3579,285
PORTO ACRE,AC,19141,10578,2490,7062
BARRAS,PI,47298,28562,20919,5229
FARTURA DO PIAUÍ,PI,5330,3692,3310,229
PAULISTANA,PI,20583,13378,10559,1717
JACOBINA DO PIAUÍ,PI,5718,4326,3469,516
BARRO DURO,PI,7022,4566,3229,1038
JARDIM DO MULATO,PI,4522,3522,2655,601
BATALHA,PI,26951,16543,11708,3347
SANTA ROSA DO PURUS,AC,6893,2609,1357,1028
BENEDITINOS,PI,10479,7734,6277,814
LAGOA ALEGRE,PI,8610,6674,5495,744
BERTOLÍNIA,PI,5512,3794,2740,739
LAGOA DO BARRO DO PIAUÍ,PI,4658,3639,3053,324
MARCOLÂNDIA,PI,8590,6355,4486,1261
BOM JESUS,PI,25584,15791,10360,4165
PATOS DO PIAUÍ,PI,6420,4411,3556,413
BURITI DOS LOPES,PI,19832,13628,9592,3089
MARECHAL THAUMATURGO,AC,19727,8280,3238,4146
PASSAGEM FRANCA DO PIAUÍ,PI,4331,2951,2219,601
CAMPINAS DO PIAUÍ,PI,5628,4139,3635,265
QUEIMADA NOVA,PI,9041,5903,4792,607
CAMPO MAIOR,PI,46950,29545,20756,6001
SANTA CRUZ DOS MILAGRES,PI,4046,2723,2143,379
CANTO DO BURITI,PI,21326,12160,9073,1998
SANTA ROSA DO PIAUÍ,PI,5254,3485,2531,691
CAPITÃO DE CAMPOS,PI,11471,8023,6155,1070
SANTANA DO PIAUÍ,PI,4650,3127,2442,408
WALL FERRAZ,PI,4479,4278,3300,675
CARACOL,PI,11009,6534,5319,736
SÃO BRAZ DO PIAUÍ,PI,4454,3288,2903,216
CASTELO DO PIAUÍ,PI,19716,12392,8914,2433
SÃO JOSÉ DO DIVINO,PI,5361,4186,3259,550
SÃO JOÃO DA FRONTEIRA,PI,6084,4955,3914,665
COCAL,PI,27901,17002,12413,3011
COCAL DOS ALVES,PI,6180,4755,3987,406
SIGEFREDO PACHECO,PI,10074,6996,5588,902
CONCEIÇÃO DO CANINDÉ,PI,4811,3845,2968,464
SÃO LOURENÇO DO PIAUÍ,PI,4581,4142,3555,286
CORRENTE,PI,26771,15971,11012,3570
BRASILÉIA,AC,27123,14380,4158,9019
EPITACIOLÂNDIA,AC,18979,10152,2665,6622
VÁRZEA BRANCA,PI,4930,3757,3219,303
CRISTALÂNDIA DO PIAUÍ,PI,8350,4398,3478,553
BARRA D'ALCÂNTARA,PI,3953,2662,2111,328
CRISTINO CASTRO,PI,10464,6221,4773,1026
BELA VISTA DO PIAUÍ,PI,4044,3081,2310,321
CURIMATÁ,PI,11461,7055,5095,1456
BREJO DO PIAUÍ,PI,3824,3116,2743,252
DEMERVAL LOBÃO,PI,13862,10105,7385,1879
PORTO WALTER,AC,12497,5655,2660,2143
BOA HORA,PI,6848,5050,3817,769
DOM EXPEDITO LOPES,PI,6940,5410,4177,837
DOM INOCÊNCIO,PI,9574,5843,5054,426
SÃO RAIMUNDO NONATO,PI,35035,21775,17574,2851
ELESBÃO VELOSO,PI,14550,9833,7974,1100
CAPITÃO GERVÁSIO OLIVEIRA,PI,4127,3110,2730,212
ELISEU MARTINS,PI,4943,2892,2217,444
CAMPO GRANDE DO PIAUÍ,PI,5987,4085,3279,396
ESPERANTINA,PI,39953,24118,16767,5323
CAMPO LARGO DO PIAUÍ,PI,7342,4246,3232,649
FLORES DO PIAUÍ,PI,4461,3241,2525,446
CRUZEIRO DO SUL,AC,89760,46647,10770,30977
CURRAIS,PI,4982,4385,3492,644
FLORIANO,PI,60111,35748,25485,7249
GEMINIANO,PI,5477,4913,3955,576
FRANCINÓPOLIS,PI,5345,3366,2783,342
GUARIBAS,PI,4573,3266,2966,180
FRANCISCO AYRES,PI,4300,3607,2863,440
RODRIGUES ALVES,AC,19767,9094,1839,6551
ILHA GRANDE,PI,9487,7240,5437,1182
PARNAÍBA,PI,153863,90580,55401,26264
FRANCISCO SANTOS,PI,9423,5580,4326,723
SÃO JOÃO DA CANABRAVA,PI,4619,3898,3257,428
JUREMA,PI,4790,3875,3240,364
FRONTEIRAS,PI,11690,7674,5857,1276
LAGOA DE SÃO FRANCISCO,PI,6795,4575,3633,591
GILBUÉS,PI,10698,6476,4997,1020
MORRO CABEÇA NO TEMPO,PI,4527,2886,2225,392
GUADALUPE,PI,10496,6377,4828,1064
MÂNCIO LIMA,AC,19643,10566,3236,6469
HUGO NAPOLEÃO,PI,3880,3493,2701,544
NOSSA SENHORA DE NAZARÉ,PI,4911,4612,3855,498
PAQUETÁ,PI,3931,3234,2579,431
PICOS,PI,78627,45176,31320,10157
INHUMA,PI,15330,9982,7818,1362
IPIRANGA DO PIAUÍ,PI,9863,6066,5007,597
NOVA SANTA RITA,PI,4392,3350,2942,222
ISAÍAS COELHO,PI,8582,5079,4322,348
SÃO JOÃO DO ARRAIAL,PI,8085,5698,3964,1338
ITAINÓPOLIS,PI,11571,7456,5746,1038
ITAUEIRA,PI,11037,6966,5129,1141
JAICÓS,PI,19233,10240,7744,1402
JORDÃO,AC,8628,4146,2213,1515
JERUMENHA,PI,4443,3713,2867,604
JOAQUIM PIRES,PI,14396,9235,6789,1835
SANTO ANTÔNIO DE LISBOA,PI,6466,5081,3855,824
LANDRI SALES,PI,5272,3494,2846,432
JOSÉ DE FREITAS,PI,39457,28381,22907,3279
CAJUEIRO DA PRAIA,PI,7704,5388,4076,948
LUZILÂNDIA,PI,25521,16143,12008,2972
MANOEL EMÍDIO,PI,5352,3729,3011,462
MARCOS PARENTE,PI,4546,3165,2174,773
ACRELÂNDIA,AC,15721,7293,1516,5238
MATIAS OLÍMPIO,PI,10979,6598,4928,1143
MIGUEL ALVES,PI,33901,19343,15013,2531
MONSENHOR GIL,PI,10563,8259,6414,1260
CURRALINHOS,PI,4475,4282,3521,526
MONSENHOR HIPÓLITO,PI,7785,5862,4709,626
MONTE ALEGRE DO PIAUÍ,PI,10618,7058,5680,886
NAZARÉ DO PIAUÍ,PI,7307,5180,4412,430
NOSSA SENHORA DOS REMÉDIOS,PI,8751,6766,5151,1106
NOVO ORIENTE DO PIAUÍ,PI,6548,4023,3359,345
FEIJÓ,AC,34986,15854,7930,6191
OEIRAS,PI,37138,24091,17737,4566
DOMINGOS MOURÃO,PI,4352,3340,2804,330
PADRE MARCOS,PI,6879,4939,3842,686
PAES LANDIM,PI,4124,3219,2183,710
PALMEIRA DO PIAUÍ,PI,5029,3694,2654,697
PALMEIRAIS,PI,14633,10099,8267,1214
PARNAGUÁ,PI,10846,5677,4577,716
PEDRO II,PI,38812,24961,17672,4900
PIMENTA BUENO,RO,37098,20378,4887,13773
PIMENTEIRAS,PI,12150,7053,5437,1075
PIO IX,PI,18492,11635,9375,1321
PIRACURUCA,PI,28952,18564,13707,3475
PIRIPIRI,PI,63829,38916,27351,8085
PORTO,PI,12646,6993,5291,1207
PRATA DO PIAUÍ,PI,3149,2710,2209,310
REDENÇÃO DO GURGUÉIA,PI,8814,5182,3558,1180
REGENERAÇÃO,PI,17979,10575,8526,1196
RIBEIRO GONÇALVES,PI,7408,4192,3063,876
RIO GRANDE DO PIAUÍ,PI,6434,4177,3406,495
SANTA CRUZ DO PIAUÍ,PI,6254,4591,3770,518
SANTA FILOMENA,PI,6256,4130,2961,853
SANTA LUZ,PI,5903,4114,2906,895
SANTO INÁCIO DO PIAUÍ,PI,3809,2788,2330,344
SÃO FRANCISCO DO PIAUÍ,PI,6417,4600,3104,1090
SÃO GONÇALO DO PIAUÍ,PI,5044,3723,2611,730
SÃO JOÃO DA SERRA,PI,6106,5248,4026,782
SÃO JOÃO DO PIAUÍ,PI,20720,12256,9220,2075
SÃO JOSÉ DO PEIXE,PI,3737,2491,1983,303
SÃO JOÃO DA VARJOTA,PI,4856,3168,2530,422
SÃO JOSÉ DO PIAUÍ,PI,6696,4745,3882,602
SÃO JULIÃO,PI,6379,4371,2885,1170
SEBASTIÃO LEAL,PI,4311,3425,2176,1018
SÃO MIGUEL DO TAPUIO,PI,17617,11902,9495,1371
ALVORADA DO GURGUÉIA,PI,5469,3601,2826,545
SÃO PEDRO DO PIAUÍ,PI,14356,9094,6635,1653
ASSUNÇÃO DO PIAUÍ,PI,7879,4985,4132,424
BETÂNIA DO PIAUÍ,PI,6214,4555,3881,317
SIMÕES,PI,14664,9389,7476,1127
BOQUEIRÃO DO PIAUÍ,PI,6443,4226,3412,495
SIMPLÍCIO MENDES,PI,12778,8172,6451,1030
CARIDADE DO PIAUÍ,PI,5102,3922,3257,355
SOCORRO DO PIAUÍ,PI,4557,3372,2523,510
CURRAL NOVO DO PIAUÍ,PI,5390,3878,3371,278
JÚLIO BORGES,PI,5653,3646,2997,343
LAGOA DO SÍTIO,PI,5219,3703,2907,447
UNIÃO,PI,44649,30098,22208,5340
URUÇUÍ,PI,21746,14354,9581,3682
MILTON BRANDÃO,PI,6603,4979,3269,1259
TERESINA,PI,871126,498721,301309,138320
VALENÇA DO PIAUÍ,PI,20940,13469,9953,2321
PAJEÚ DO PIAUÍ,PI,3416,2654,2057,358
VÁRZEA GRANDE,PI,4382,3066,2315,454
PAVUSSU,PI,3662,2959,2492,242
DIRCEU ARCOVERDE,PI,7046,4937,4214,421
RIACHO FRIO,PI,4306,3342,2846,299
ALAGOINHA DO PIAUÍ,PI,7678,5093,3648,979
ACAUÃ,PI,7119,5471,4647,448
BELÉM DO PIAUÍ,PI,3607,2572,2038,329
CAJAZEIRAS DO PIAUÍ,PI,3586,2866,2280,313
CAMPO ALEGRE DO FIDALGO,PI,5093,3745,3174,328
COCAL DE TELHA,PI,4908,3466,2902,310
FRANCISCO MACEDO,PI,3216,2253,1762,278
