MUNICIPIO,ESTADO,POPULACAOESTIMADA,TOTALCOMPARECIMENTOS,VOTOSLULA,VOTOSBOLSONARO
ÁGUA BRANCA,PI,15887,12671,8835,3041
BAIXA GRANDE DO RIBEIRO,PI,10232,8415,5675,2210
ALTO LONGÁ,PI,13612,10586,8253,1442
ALEGRETE DO PIAUÍ,PI,4482,3459,2665,587
BRASILEIRA,PI,7699,5956,4716,811
AGRICOLÂNDIA,PI,4980,4023,3135,542
BOM PRINCÍPIO DO PIAUÍ,PI,5276,5128,3850,908
BONFIM DO PIAUÍ,PI,5185,4091,3526,254
ALTOS,PI,38328,29149,22770,3984
AMARANTE,PI,17316,12080,9683,1537
ANGICAL DO PIAUÍ,PI,6609,5339,4092,853
BURITI DOS MONTES,PI,7820,5535,4640,533
CABECEIRAS DO PIAUÍ,PI,9438,7262,5938,681
ANÍSIO DE ABREU,PI,8197,5731,4814,582
CALDEIRÃO GRANDE DO PIAUÍ,PI,5622,4324,3448,549
CAPIXABA,AC,8446,6166,1630,3944
ANTÔNIO ALMEIDA,PI,3140,2382,1626,586
CANAVIEIRA,PI,3984,2654,2136,348
AROAZES,PI,5857,4642,3770,580
COLÔNIA DO GURGUÉIA,PI,5700,4197,3207,732
AVELINO LOPES,PI,11507,7289,5165,1392
COLÔNIA DO PIAUÍ,PI,7662,4776,3907,547
ARRAIAL,PI,5002,3370,2696,409
BARREIRAS DO PIAUÍ,PI,3355,2647,1987,450
CORONEL JOSÉ DIAS,PI,4356,4111,3579,285
PORTO ACRE,AC,13716,10578,2490,7062
BARRAS,PI,43328,28562,20919,5229
FARTURA DO PIAUÍ,PI,5190,3692,3310,229
PAULISTANA,PI,16930,13378,10559,1717
JACOBINA DO PIAUÍ,PI,5597,4326,3469,516
BARRO DURO,PI,6661,4566,3229,1038
JARDIM DO MULATO,PI,4171,3522,2655,601
BATALHA,PI,25724,16543,11708,3347
SANTA ROSA DO PURUS,AC,3948,2609,1357,1028
BENEDITINOS,PI,9560,7734,6277,814
LAGOA ALEGRE,PI,7862,6674,5495,744
