MUNICIPIO,ESTADO,POPULACAOESTIMADA,MARGEMDECORTE,POPULACAOAPTA,TOTALCOMPARECIMENTOS,VOTOSLULA,VOTOSBOLSONARO
ÁGUA BRANCA,PI,15887,22.29,12346,12671,8835,3041
BAIXA GRANDE DO RIBEIRO,PI,10232,22.29,7951,8415,5675,2210
ALTO LONGÁ,PI,13612,22.29,10578,10586,8253,1442
ALEGRETE DO PIAUÍ,PI,4482,22.29,3483,3459,2665,587
BRASILEIRA,PI,7699,22.29,5983,5956,4716,811
AGRICOLÂNDIA,PI,4980,22.29,3870,4023,3135,542
BOM PRINCÍPIO DO PIAUÍ,PI,5276,22.29,4100,5128,3850,908
BONFIM DO PIAUÍ,PI,5185,22.29,4029,4091,3526,254
ALTOS,PI,38328,22.29,29785,29149,22770,3984
AMARANTE,PI,17316,22.29,13456,12080,9683,1537
ANGICAL DO PIAUÍ,PI,6609,22.29,5136,5339,4092,853
BURITI DOS MONTES,PI,7820,22.29,6077,5535,4640,533
CABECEIRAS DO PIAUÍ,PI,9438,22.29,7334,7262,5938,681
ANÍSIO DE ABREU,PI,8197,22.29,6370,5731,4814,582
CALDEIRÃO GRANDE DO PIAUÍ,PI,5622,22.29,4369,4324,3448,549
CAPIXABA,AC,8446,27.12,6155,6166,1630,3944
ANTÔNIO ALMEIDA,PI,3140,22.29,2440,2382,1626,586
CANAVIEIRA,PI,3984,22.29,3096,2654,2136,348
AROAZES,PI,5857,22.29,4551,4642,3770,580
COLÔNIA DO GURGUÉIA,PI,5700,22.29,4429,4197,3207,732
AVELINO LOPES,PI,11507,22.29,8942,7289,5165,1392
COLÔNIA DO PIAUÍ,PI,7662,22.29,5954,4776,3907,547
ARRAIAL,PI,5002,22.29,3887,3370,2696,409
BARREIRAS DO PIAUÍ,PI,3355,22.29,2607,2647,1987,450
CORONEL JOSÉ DIAS,PI,4356,22.29,3385,4111,3579,285
PORTO ACRE,AC,13716,27.12,9996,10578,2490,7062
BARRAS,PI,43328,22.29,33670,28562,20919,5229
FARTURA DO PIAUÍ,PI,5190,22.29,4033,3692,3310,229
PAULISTANA,PI,16930,22.29,13156,13378,10559,1717
JACOBINA DO PIAUÍ,PI,5597,22.29,4349,4326,3469,516
BARRO DURO,PI,6661,22.29,5176,4566,3229,1038
JARDIM DO MULATO,PI,4171,22.29,3241,3522,2655,601
BATALHA,PI,25724,22.29,19990,16543,11708,3347
SANTA ROSA DO PURUS,AC,3948,27.12,2877,2609,1357,1028
BENEDITINOS,PI,9560,22.29,7429,7734,6277,814
LAGOA ALEGRE,PI,7862,22.29,6110,6674,5495,744
BERTOLÍNIA,PI,5302,22.29,4120,3794,2740,739
LAGOA DO BARRO DO PIAUÍ,PI,4543,22.29,3530,3639,3053,324
MARCOLÂNDIA,PI,7154,22.29,5559,6355,4486,1261
BOM JESUS,PI,19532,22.29,15178,15791,10360,4165
PATOS DO PIAUÍ,PI,6171,22.29,4795,4411,3556,413
BURITI DOS LOPES,PI,19150,22.29,14881,13628,9592,3089
MARECHAL THAUMATURGO,AC,13061,27.12,9519,8280,3238,4146
PASSAGEM FRANCA DO PIAUÍ,PI,4127,22.29,3207,2951,2219,601
CAMPINAS DO PIAUÍ,PI,5598,22.29,4350,4139,3635,265
QUEIMADA NOVA,PI,9146,22.29,7107,5903,4792,607
CAMPO MAIOR,PI,44548,22.29,34618,29545,20756,6001
SANTA CRUZ DOS MILAGRES,PI,3352,22.29,2605,2723,2143,379
CANTO DO BURITI,PI,20673,22.29,16065,12160,9073,1998
SANTA ROSA DO PIAUÍ,PI,5149,22.29,4001,3485,2531,691
CAPITÃO DE CAMPOS,PI,10830,22.29,8416,8023,6155,1070
SANTANA DO PIAUÍ,PI,4841,22.29,3762,3127,2442,408
WALL FERRAZ,PI,4452,22.29,3460,4278,3300,675
CARACOL,PI,10343,22.29,8038,6534,5319,736
SÃO BRAZ DO PIAUÍ,PI,4311,22.29,3350,3288,2903,216
CASTELO DO PIAUÍ,PI,18550,22.29,14415,12392,8914,2433
SÃO JOSÉ DO DIVINO,PI,5045,22.29,3920,4186,3259,550
