MUN,ZONA,SECAO,ESTADO,MUNICIPIO,LOCAL,URNA,SERIEFC,DHCARGA,CODCARGA,DHABERTURA,DHENCERRAMENTO,ELAPTOS,ELCOMPARECIMENTO,LULA,BOLSONARO

132,4,11,RO,VILHENA,1082,1662356,169E979E,20220926T141800,914935095628407927394599,20221002T070001,20221002T170431,420,331,45,262
132,4,180,RO,VILHENA,1112,1664046,304DD3FF,20220926T164200,763420412718322117475039,20221002T070001,20221002T162953,432,328,53,250
132,4,22,RO,VILHENA,1112,1663398,13C01DF6,20220926T105500,632107999904830823068027,20221002T070001,20221002T165103,424,340,55,264
132,4,32,RO,VILHENA,1139,1652011,13C01DF6,20220926T152700,147258575855761253829221,20221002T070001,20221002T171911,443,354,53,272
132,4,34,RO,VILHENA,1139,1658881,13C01DF6,20220926T153700,460490117787173866509653,20221002T070001,20221002T165618,442,340,60,254
132,4,36,RO,VILHENA,1139,1660954,13C01DF6,20220926T154800,702814574111573426226969,20221002T070001,20221002T174824,451,357,63,267
132,4,38,RO,VILHENA,1139,1663751,17CE8982,20220926T082200,187662277571718309999611,20221002T070001,20221002T165806,433,340,57,258
132,4,61,RO,VILHENA,1112,1662202,2D321A34,20220926T142200,935137466023097941021450,20221002T070001,20221002T161746,430,336,57,256
2003,67,26,AM,APUÍ,1058,1786926,FDD993D7,20220920T083200,741993541354823107845000,20221002T070009,20221002T200230,517,371,84,267
2518,12,108,AM,LÁBREA,3042,1753256,B6FAA303,20220920T092300,235952208651404196746732,20221002T070001,20221002T173303,390,289,25,255
2577,16,113,AM,MANICORÉ,1449,1627206,3D8D569F,20220926T124900,696242697339303297505465,20221002T071018,20221002T185657,384,300,36,255
2577,16,114,AM,MANICORÉ,1449,1619511,87E1926F,20220926T115300,474020474503643366165547,20221002T070200,20221002T181055,382,299,40,252
2577,16,115,AM,MANICORÉ,1449,1614908,87E1926F,20220926T113300,383111097194378296572562,20221002T070433,20221002T180230,382,303,41,259
2577,16,72,AM,MANICORÉ,1449,1614821,3D8D569F,20220926T112400,686141395338653370925106,20221002T070001,20221002T174012,413,306,30,260
2577,16,76,AM,MANICORÉ,1449,1613533,3D8D569F,20220926T113000,292202441399072289174227,20221002T070001,20221002T182143,408,307,39,259
2577,16,85,AM,MANICORÉ,1449,1613789,3D8D569F,20220926T113700,211494322891482162944549,20221002T070001,20221002T181706,409,310,41,261
2577,16,86,AM,MANICORÉ,1449,1622536,3D8D569F,20220926T114300,251898473895330265972175,20221002T070001,20221002T174952,408,319,51,256
2577,16,87,AM,MANICORÉ,1449,1614890,3D8D569F,20220926T114800,484121810118910087493382,20221002T070001,20221002T182038,404,317,42,257
2577,16,90,AM,MANICORÉ,1449,1613786,3D8D569F,20220926T115600,393212021909772593269691,20221002T070001,20221002T175200,416,322,42,263
30007,205,117,BA,LUÍS EDUARDO MAGALHÃES,1171,1058085,6F07ADD0,20220927T112000,989471916700764051451798,20221002T080001,20221002T172331,413,351,42,288
30007,205,158,BA,LUÍS EDUARDO MAGALHÃES,1171,1016603,ERROR,20220927T135200,656138970816062749424522,20221002T080001,20221002T170611,390,310,43,252
30007,205,165,BA,LUÍS EDUARDO MAGALHÃES,1171,1003453,ERROR,20220927T154000,959168014146356346986768,20221002T080001,20221002T174352,391,328,46,264
30007,205,175,BA,LUÍS EDUARDO MAGALHÃES,1171,1051555,7E5C8D5C,20220928T235700,534926666149452751695420,20221002T083228,20221002T175347,389,355,37,296
30007,205,181,BA,LUÍS EDUARDO MAGALHÃES,1171,1029940,7E5C8D5C,20220927T105100,423815186138431261361556,20221002T080001,20221002T170058,395,330,53,258
30007,205,94,BA,LUÍS EDUARDO MAGALHÃES,1171,1052804,7F1A77BC,20220927T144300,736946804743233688554202,20221002T080321,20221002T173102,417,350,52,288
3107,7,56,RR,UIRAMUTÃ,1066,1758101,E7ABB3CE,20220921T093700,959272969681585356484371,20221002T070001,20221002T180416,354,314,16,293
4111,18,323,PA,ALTAMIRA,2666,1659589,13ABBA09,20220922T083500,501345244129972488768340,20221002T080001,20221002T191202,415,291,35,250
41238,34,299,MG,BELO HORIZONTE,1678,2085578,A1685EB2,20220921T093000,279992076258416224789277,20221002T080038,20221002T183343,487,370,71,255
41238,34,300,MG,BELO HORIZONTE,1678,2084753,A1685EB2,20220921T093400,875952146018295873015110,20221002T080001,20221002T173804,485,370,67,261
41238,34,302,MG,BELO HORIZONTE,1678,2084082,A1685EB2,20220921T094000,694134181700922414848192,20221002T080001,20221002T174727,493,406,70,269
41238,34,303,MG,BELO HORIZONTE,1678,2094658,A1685EB2,20220921T094300,269891864857700972150977,20221002T080001,20221002T172748,488,403,92,275
41238,34,304,MG,BELO HORIZONTE,1678,2085771,A1685EB2,20220921T094500,108275819641681676447654,20221002T080001,20221002T173028,484,385,76,259
41238,34,314,MG,BELO HORIZONTE,1678,2123445,A1685EB2,20220921T102600,572922354888128129329852,20221002T080001,20221002T175527,487,400,76,270
41238,34,331,MG,BELO HORIZONTE,1678,2089789,A1685EB2,20220921T111600,461811055177039983474332,20221002T080001,20221002T173333,482,396,81,273
41238,34,339,MG,BELO HORIZONTE,1716,2084193,A1685EB2,20220921T090700,219386689652571423567704,20221002T080001,20221002T172954,447,361,57,254
41238,34,361,MG,BELO HORIZONTE,1716,2123472,A1685EB2,20220921T132700,956760759226905727957836,20221002T080001,20221002T170308,428,373,103,266
434,1,133,RO,NOVA MAMORÉ,1244,1761258,ED82C110,20220922T120200,211832849596618803892458,20221002T070001,20221002T175331,491,369,71,284
434,1,143,RO,NOVA MAMORÉ,1244,1760462,5F716D3F,20220922T101300,151226855178491282861387,20221002T070001,20221002T173657,494,376,70,296
434,1,165,RO,NOVA MAMORÉ,1244,1761031,250DC1D5,20220922T120200,716882774684110735973360,20221002T070001,20221002T175918,498,326,43,273
434,1,84,RO,NOVA MAMORÉ,1236,1762888,4FE42466,20220922T114200,787589783665431074273285,20221002T070033,20221002T174719,475,334,64,254
4383,91,23,PA,NOVO PROGRESSO,1104,1673036,E59EC90F,20220921T134700,158789625737282166230146,20221002T080001,20221002T174504,421,308,35,268
