MUN,ZONA,SECAO,ESTADO,MUNICIPIO,LOCAL,URNA,SERIEFC,DHCARGA,CODCARGA,DHABERTURA,DHENCERRAMENTO,ELAPTOS,ELCOMPARECIMENTO,LULA,BOLSONARO

10243,13,244,PI,CORONEL JOSÉ DIAS,1180,1801177,2BDCCC8D,20220929T172900,221862124363475377006338,20221002T080001,20221002T170023,114,101,92,
10502,95,50,PI,SÃO BRAZ DO PIAUÍ,1040,1802099,3634EFDB,20220928T150900,824600174507581078742876,20221002T080001,20221002T170359,151,121,116,
10693,48,97,PI,ELESBÃO VELOSO,1260,1279645,B8BD2CED,20220928T144100,553471956741005577276664,20221002T080001,20221002T170902,227,181,170,
10715,67,37,PI,ELISEU MARTINS,1090,1800766,7D5928E9,20220927T154000,900609882427301209831175,20221002T080001,20221002T170424,105,90,83,
10871,35,63,PI,GILBUÉS,1155,1801942,005A122E,20220929T140200,136689881229382003565956,20221002T080001,20221002T170245,115,95,89,
10871,35,71,PI,GILBUÉS,1236,1752154,005A122E,20221001T085300,076083673623359756790202,20221002T080001,20221002T170130,60,45,43,
11398,5,356,PI,OEIRAS,1864,1280927,0A92FAF3,20220921T160100,728427003144408815245079,20221002T080001,20221002T170119,37,33,38,
12033,64,73,PI,SÃO JOSÉ DO PIAUÍ,1155,1323937,2DF7E5C1,20220922T132200,746360561297433690600716,20221002T080001,20221002T170303,110,100,95,
13102,99,141,CE,QUITERIANÓPOLIS,1430,1817478,D8D32A7E,20220922T134900,440706926074802132940614,20221002T080001,20221002T170138,134,117,113,
13277,105,175,CE,ARATUBA,1260,1233483,C627CC25,20220920T144700,383002516474538883678753,20221002T080001,20221002T170052,97,93,89,
13536,38,146,CE,CAMPOS SALES,1775,1765420,4ED0BDCF,20220926T110800,420251456160490620804171,20221002T080001,20221002T170137,70,57,48,
13552,33,413,CE,CANINDÉ,2941,2042181,07B1DDA8,20220919T155600,196573950360171772922433,20221002T080001,20221002T170017,138,121,117,
13951,25,208,CE,GRANJA,1791,1300758,8A39AA4B,20220927T162000,188387242419519336438267,20221002T081016,20221002T170856,93,78,71,
14290,17,437,CE,ITAPIPOCA,2852,1113653,B855A814,20220923T112200,349418341210900340046473,20221002T101119,20221002T174810,162,158,155,
14630,76,146,CE,MAURITI,2054,1227903,97A21ABB,20220930T093000,527467555005687919061892,20221002T080001,20221002T170234,71,65,56,
15210,40,163,CE,PORANGA,1295,1818745,CB89EE27,20220922T132500,775805616372679243817414,20221002T080001,20221002T170022,97,67,67,
15431,53,50,CE,SANTANA DO CARIRI,1120,1329052,7DE06801,20220929T173400,982466330409970063437652,20221002T080001,20221002T170353,199,162,151,
15652,61,101,CE,TAMBORIL,1732,1818291,1D9A508D,20220920T130000,158668358566347871837400,20221002T080124,20221002T170951,87,85,80,
15652,61,102,CE,TAMBORIL,1767,1818571,F72E0324,20220920T143100,926345236167569295363348,20221002T080001,20221002T170114,103,89,84,
2054,42,25,AM,ATALAIA DO NORTE,1104,1271123,DB182B75,20220926T101200,909940595544534283483021,20221002T061308,20221002T150340,194,149,142,
2054,42,28,AM,ATALAIA DO NORTE,1147,1271823,DB182B75,20220926T104700,465596486000718020197927,20221002T062628,20221002T150319,197,127,126,
2054,42,29,AM,ATALAIA DO NORTE,1112,1271278,84839CCA,20220926T090400,576607702957170686464524,20221002T060001,20221002T185326,335,181,133,
2054,42,30,AM,ATALAIA DO NORTE,1155,1290182,84839CCA,20220926T092200,384788597338020731743786,20221002T060000,20221002T150105,164,132,129,
2054,42,37,AM,ATALAIA DO NORTE,1171,1267293,84839CCA,20220926T100600,920142908492740088262536,20221002T060001,20221002T150028,125,106,103,
2119,26,62,AM,BARREIRINHA,1414,1618880,45B2A8BE,20220924T120500,688548324649474762676886,20221002T070001,20221002T195521,365,329,308,
2216,21,96,AM,CARAUARI,1414,1789653,188B023B,20220919T163300,918816204297615461144536,20221002T070350,20221002T160154,102,90,89,
2275,7,46,AM,CODAJÁS,1678,1289932,FAD4992A,20220926T154500,116588051757776436113541,20221002T070001,20221002T163204,70,45,43,
2372,30,22,AM,SANTA ISABEL DO RIO NEGRO,1139,1788415,541A96A9,20220926T164100,104431461232590624605655,20221002T070001,20221002T162212,350,168,165,
2410,3,158,AM,ITACOATIARA,1031,1066944,76B7ED3B,20220927T151400,197652519153608564109483,20221002T072045,20221002T160705,61,41,39,
2453,48,12,AM,JAPURÁ,1074,1658120,A67513BA,20220926T162000,457361745254692095646439,20221002T070001,20221002T160023,200,179,171,
2690,4,130,AM,PARINTINS,1600,1613699,F50CD194,20220927T141400,884732189989182032426852,20221002T070001,20221002T162117,307,231,227,
2690,4,232,AM,PARINTINS,1937,1614831,BD097E03,20220927T120200,076651680332921993688030,20221002T070142,20221002T160043,142,124,119,
2739,47,45,AM,SANTO ANTÔNIO DO IÇÁ,1104,1654605,A60FEFB1,20220926T103700,836488661273995490017506,20221002T071248,20221002T160213,240,204,191,
2739,47,9,AM,SANTO ANTÔNIO DO IÇÁ,1040,1659263,C0F57AFA,20220926T104300,674872666147641907369976,20221002T072428,20221002T204556,419,340,331,
2755,22,57,AM,SÃO PAULO DE OLIVENÇA,1120,1664111,ERROR,20220923T101100,653201774535940163213960,20221002T060349,20221002T150037,271,208,197,
2755,22,80,AM,SÃO PAULO DE OLIVENÇA,1171,1663320,830B702A,20220923T122800,350271912246447569012412,20221002T063123,20221002T172448,399,330,326,
2755,22,86,AM,SÃO PAULO DE OLIVENÇA,1104,1663886,84308351,20220923T121100,612897830363126201494128,20221002T060001,20221002T180247,400,367,357,
2836,19,13,AM,SÃO GABRIEL DA CACHOEIRA,1155,1788895,22798388,20220927T120800,895095290730167622903597,20221002T071537,20221002T162150,289,245,241,
2836,19,48,AM,SÃO GABRIEL DA CACHOEIRA,1120,1787842,BBDE984B,20220927T195600,864792861331215458908677,20221002T071228,20221002T161013,297,168,167,
2836,19,59,AM,SÃO GABRIEL DA CACHOEIRA,1503,1787014,3842DE35,20220927T150200,753681093123932091672609,20221002T070001,20221002T160025,211,137,136,
2836,19,65,AM,SÃO GABRIEL DA CACHOEIRA,1546,1787278,670570B9,20220927T145400,723378694421383907350786,20221002T072414,20221002T160142,319,186,184,
2836,19,87,AM,SÃO GABRIEL DA CACHOEIRA,1600,1786997,1E202C93,20220927T183700,763782760155890309853687,20221002T080656,20221002T171249,220,139,139,
2836,19,92,AM,SÃO GABRIEL DA CACHOEIRA,1546,1787214,26CB0DDB,20220927T170100,258631109539583548254315,20221002T071943,20221002T160122,314,192,189,
30759,174,50,BA,BARRO ALTO,1074,1224417,2C8F67B4,20220928T192000,607862954371353829068775,20221002T080001,20221002T170303,85,71,65,
3107,7,104,RR,UIRAMUTÃ,1198,1844684,3D4131BE,20220921T102100,524929056322720534556663,20221002T070001,20221002T160057,108,102,98,
3107,7,61,RR,UIRAMUTÃ,1120,1791679,3D4131BE,20220921T081500,524929051822725522944098,20221002T070619,20221002T160145,263,242,239,
31950,34,304,SE,NOSSA SENHORA DO SOCORRO,1635,2175174,1E601D6E,20220922T104800,511116221822475471624918,20221002T080001,20221002T174109,27,17,14,
33090,111,250,BA,ÉRICO CARDOSO,1228,1625173,E133AA65,20220920T155400,298856825817430874437134,20221002T080001,20221002T170018,91,51,47,
33260,45,250,BA,ANDORINHA,1155,1263040,B925C621,20220927T100500,367619899688205253200725,20221002T080001,20221002T194715,278,229,213,
33596,176,151,BA,BARRA DO MENDES,1422,1229933,DF5DF1D3,20220922T150900,388662938706605129502573,20221002T080001,20221002T170101,96,70,69,
33812,65,254,BA,BOQUIRA,1295,1369168,C773D693,20220929T093400,943991911656080016429806,20221002T080001,20221002T172039,283,200,183,
33898,94,28,BA,BROTAS DE MACAÚBAS,1279,1613329,0BA9DC95,20220927T120100,624969647575406112807105,20221002T082316,20221002T170244,67,37,28,
34975,85,79,BA,CURAÇÁ,1449,1019488,146F1116,20220922T151700,803491286915979593849325,20221002T080001,20221002T170331,131,115,108,
35157,155,800,BA,FEIRA DE SANTANA,1260,1765214,5EEBFDED,20220920T092900,212420935118807557005228,20221002T082438,20221002T174451,33,21,21,
35378,193,116,BA,IAÇU,1210,2195776,D00511D6,20220927T145200,641269461375169657808236,20221002T081854,20221002T171427,66,44,42,
35637,104,241,BA,IBITITÁ,1457,1269686,2B75C76B,20220922T194100,870340444134335737626983,20221002T080001,20221002T170501,66,53,48,
36595,49,155,BA,JANDAÍRA,1171,1267292,248E921A,20220920T164800,754102745839197877941559,20221002T080001,20221002T170041,119,89,83,
36714,159,53,BA,JUSSARA,1058,1244036,ERROR,20220923T150800,058848739579292762743228,20221002T080001,20221002T170152,168,115,107,
36714,159,57,BA,JUSSARA,1090,1229684,ERROR,20220923T153600,331676452507703772096983,20221002T080001,20221002T171022,96,75,70,
36692,47,276,BA,JUAZEIRO,1694,1004442,F2E139F3,20220929T102000,984403313372836079138535,20221002T080001,20221002T170030,64,51,47,
37591,79,152,BA,NOVA SOURE,1082,1262046,F5F08FA4,20220919T152800,458493115083303188622367,20221002T080001,20221002T170157,205,136,123,
37770,52,182,BA,PARIPIRANGA,1155,1245356,262EDE37,20220926T181200,850742722740363399525070,20221002T080001,20221002T173238,56,51,51,
37737,111,208,BA,PARAMIRIM,1325,1608703,8D11877F,20220920T201200,297056352885458859789699,20221002T080001,20221002T170138,114,63,57,
37877,105,62,BA,PIATÃ,1180,1623505,D0014A4E,20220928T105700,362800001666881086551775,20221002T080001,20221002T170611,51,42,31,
37893,195,100,BA,PILÃO ARCADO,1830,1112056,5F8DEA6D,20220930T161100,512978510519309383597164,20221002T080001,20221002T170101,122,93,91,
37893,195,111,BA,PILÃO ARCADO,1899,1063101,A7CAC2BD,20220921T120900,351362625362158844629403,20221002T080001,20221002T170252,131,107,101,
37893,195,132,BA,PILÃO ARCADO,2038,1020958,5F8DEA6D,20220921T142000,381665905906951986089360,20221002T080022,20221002T170245,203,177,172,
37893,195,68,BA,PILÃO ARCADO,1511,1051624,5F8DEA6D,20220921T115100,533180832621114336895766,20221002T080001,20221002T170125,112,92,91,
37893,195,76,BA,PILÃO ARCADO,1562,1053203,A7CAC2BD,20220921T085700,735100880500437251659991,20221002T081326,20221002T170204,89,68,64,
38130,95,516,BA,PRESIDENTE DUTRA,1236,1229907,DE57CC75,20220926T115000,832801013578793825221536,20221002T082318,20221002T171427,76,70,69,
39292,123,46,BA,TEOFILÂNDIA,1180,1760145,CEAD0207,20220927T151100,297485234977497340523767,20221002T080001,20221002T170020,58,49,47,
39896,95,321,BA,SÃO GABRIEL,1317,1223810,6DF51C42,20220927T120200,598277119857440170719229,20221002T081101,20221002T170606,69,55,49,
39942,88,304,BA,NOVO HORIZONTE,1236,1613039,DE48F7B2,20220923T185500,175661882025981427087246,20221002T080001,20221002T170330,83,69,69,
40320,172,183,MG,JUATUBA,1139,2091113,AA4947E5,20220919T165500,372417350848391583171129,20221002T080448,20221002T170042,28,23,22,
4073,21,234,PA,ALENQUER,2216,1808800,2FB5342A,20220920T131900,943419778750854594678857,20221002T080001,20221002T170227,82,72,71,
41319,4,178,MG,BERTÓPOLIS,1090,1654319,373017C1,20220922T153200,360280829152361784905790,20221002T081247,20221002T182045,182,164,152,
4146,41,198,PA,SANTA LUZIA DO PARÁ,1538,2150174,0A3C15B9,20220923T154200,953634559584134537742923,20221002T080001,20221002T170224,93,82,76,
