MUN,ZONA,SECAO,ESTADO,MUNICIPIO,LOCAL,URNA,SERIEFC,DHCARGA,CODCARGA,DHABERTURA,DHENCERRAMENTO,ELAPTOS,ELCOMPARECIMENTO,LULA,BOLSONARO

10022,40,74,PI,ALEGRETE DO PIAUÍ,1058,1282254,FB4A8400,20220928T121700,055633983907434920768542,20221002T090339,20221002T222636,448,341,298,34
10014,30,47,PI,AGRICOLÂNDIA,1066,2036196,8F17C8AF,20220922T154800,510972561667026050400024,20221002T080001,20221002T192105,448,350,302,30
10006,11,120,PI,BRASILEIRA,1090,2030958,199CACC8,20220921T095100,733891961438128066399913,20221002T080001,20221002T192541,419,289,255,18
10006,11,125,PI,BRASILEIRA,1104,2035326,199CACC8,20220921T100300,956013738860110272743641,20221002T080001,20221002T190837,413,356,302,42
10006,11,126,PI,BRASILEIRA,1139,2218205,199CACC8,20220921T100700,713689604536154231539773,20221002T080001,20221002T173732,416,333,260,50
10006,11,134,PI,BRASILEIRA,1120,2030964,199CACC8,20220921T102200,158033893180429346427621,20221002T080001,20221002T190721,435,324,254,45
10065,33,129,PI,BOM PRINCÍPIO DO PIAUÍ,1066,1606585,789E26CC,20220928T092400,386092601104345761379480,20221002T080001,20221002T203134,450,384,315,43
10057,47,118,PI,ALTO LONGÁ,1180,2196593,2CBB0801,20220928T124500,447349488337952561583390,20221002T080001,20221002T174440,406,342,267,55
10057,47,119,PI,ALTO LONGÁ,1198,2205478,2CBB0801,20220928T124800,942399094887668241435987,20221002T080001,20221002T174112,320,277,258,7
10073,32,102,PI,ALTOS,1279,2202956,1A780E72,20220920T095900,991442302130852209914882,20221002T080001,20221002T181449,341,294,262,12
10073,32,79,PI,ALTOS,1198,2194577,1A780E72,20220920T075300,456088938076676608535950,20221002T080001,20221002T174540,331,285,255,16
10073,32,80,PI,ALTOS,1201,2203075,1A780E72,20220920T075700,577200133888075104493696,20221002T080001,20221002T182210,338,292,264,15
10111,43,102,PI,ANGICAL DO PIAUÍ,1023,2034980,14CA7B1C,20220927T124400,478508788547827767543643,20221002T080001,20221002T183758,427,355,272,58
10111,43,104,PI,ANGICAL DO PIAUÍ,1023,2217357,14CA7B1C,20220927T124900,599720120459298503346801,20221002T080837,20221002T174409,426,329,251,55
10111,43,121,PI,ANGICAL DO PIAUÍ,1074,2218113,14CA7B1C,20220927T145100,034164376303481267032770,20221002T080001,20221002T192242,400,307,250,41
10111,43,124,PI,ANGICAL DO PIAUÍ,1082,2033823,14CA7B1C,20220927T145900,034164708603040202107722,20221002T080001,20221002T195246,381,299,251,35
10120,6,152,PI,CABECEIRAS DO PIAUÍ,1066,2194639,31AC09E1,20220923T170900,296995954599820302633195,20221002T080001,20221002T190347,372,308,278,18
10138,79,94,PI,ANÍSIO DE ABREU,1031,1798989,AD9307EE,20220927T102500,214469288273231887954501,20221002T080049,20221002T205413,390,309,281,16
10138,79,96,PI,ANÍSIO DE ABREU,1040,1801170,AD9307EE,20220927T103200,355883649387258410855066,20221002T080001,20221002T175342,310,270,251,8
10138,79,98,PI,ANÍSIO DE ABREU,1058,1800689,AD9307EE,20220927T104800,032651547955449736969223,20221002T080001,20221002T185140,392,329,276,32
10138,79,99,PI,ANÍSIO DE ABREU,1066,1801151,AD9307EE,20220927T105600,153863776067519815264462,20221002T080001,20221002T190945,370,315,296,6
10146,40,21,PI,CALDEIRÃO GRANDE DO PIAUÍ,1090,1280501,632A8AA8,20220928T104200,052133306046132340940789,20221002T080001,20221002T195824,446,367,292,52
10146,40,22,PI,CALDEIRÃO GRANDE DO PIAUÍ,1023,1280050,632A8AA8,20220928T104900,334961699974903527036726,20221002T080001,20221002T204803,433,365,285,45
10146,40,72,PI,CALDEIRÃO GRANDE DO PIAUÍ,1023,1282061,632A8AA8,20220928T121500,143042851855388061458863,20221002T080001,20221002T201248,412,361,271,62
10146,40,82,PI,CALDEIRÃO GRANDE DO PIAUÍ,1090,1340926,632A8AA8,20220928T122200,971325751038099361781918,20221002T080001,20221002T193006,446,377,309,47
10189,32,149,PI,COIVARAS,1295,2196738,3F1957D9,20220920T170000,362379726828992832805196,20221002T080001,20221002T173243,360,340,281,38
10170,89,115,PI,AROAZES,1147,1237149,36486E63,20220927T134300,039858745451422854559161,20221002T080001,20221002T191436,426,340,274,45
10227,94,82,PI,COLÔNIA DO PIAUÍ,1112,1280373,09BD8A8D,20220927T110600,657572430113679472441737,20221002T080001,20221002T213758,415,333,271,45
10227,94,85,PI,COLÔNIA DO PIAUÍ,1147,1278433,09BD8A8D,20220927T112600,102017217058303799342637,20221002T080001,20221002T184513,383,288,251,27
10243,13,145,PI,CORONEL JOSÉ DIAS,1244,1802127,4900A0F0,20220929T171500,757115675055632879447487,20221002T080814,20221002T191350,341,310,269,28
10243,13,204,PI,CORONEL JOSÉ DIAS,1090,1778421,2BDCCC8D,20220929T163300,494589111590302281166210,20221002T080001,20221002T205151,410,339,307,21
10235,6,134,PI,BARRAS,1244,2203230,1A4BB12F,20220923T151800,919457659704247464145843,20221002T080001,20221002T175556,387,285,250,18
10235,6,155,PI,BARRAS,1406,2197464,1A4BB12F,20220923T170400,808346799793983801074457,20221002T080001,20221002T201829,428,347,311,17
